2026-07-10 14:55:13 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:55:14 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:55:15 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:55:16 INFO    [BROKER] Client disconnected: robot_console (user=admin)
2026-07-10 14:55:16 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 1 subscribers
2026-07-10 14:55:17 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 1 subscribers
2026-07-10 14:55:18 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 1 subscribers
2026-07-10 14:55:19 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 1 subscribers
2026-07-10 14:55:20 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 1 subscribers
2026-07-10 14:55:21 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 1 subscribers
2026-07-10 14:55:22 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 1 subscribers
2026-07-10 14:55:23 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 1 subscribers
2026-07-10 14:55:23 INFO    [BROKER] Client disconnected: observer_screen (user=admin)
2026-07-10 14:55:24 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 0 subscribers
2026-07-10 14:55:25 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 0 subscribers
2026-07-10 14:55:30 INFO    [BROKER] Client disconnected: surgeon_console (user=admin)
2026-07-10 14:55:36 INFO    Encryption key loaded from C:\Learning & Development\aether_console\shared_networking\aether.key
2026-07-10 14:55:36 INFO    [AUTH] Credentials loaded from C:\Learning & Development\aether_console\shared_networking\credentials.json
2026-07-10 14:55:43 INFO    [AUTH] Login successful: admin (role=admin)
2026-07-10 14:55:43 INFO    [AUTH] Session created for admin: 519f4553...
2026-07-10 14:55:43 INFO    [BROKER] New connection from ('127.0.0.1', 49515)
2026-07-10 14:55:43 INFO    [AUTH] Session created for admin: a4bfde98...
2026-07-10 14:55:43 INFO    [BROKER] Client trusted: robot_console (user=admin, role=admin)
2026-07-10 14:55:43 INFO    [BROKER] Handshake from 'robot_console' — pub=['robot_telemetry', 'alerts', 'connection_status'], sub=['patient_vitals']
2026-07-10 14:55:43 INFO    [BROKER] 'robot_console' subscribed to ['patient_vitals']
2026-07-10 14:55:43 DEBUG   [BROKER] Routed message on topic 'connection_status' from 'robot_console' to 0 subscribers
2026-07-10 14:55:44 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:55:45 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
2026-07-10 14:55:46 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 0 subscribers
